物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
地下鉄東西線 二条駅 10階建 築18年,地下鉄東西線,二条駅,5,京都府京都市中京区壬生朱雀町,18,7.2,1,R,31.23,7000,,14.4
地下鉄東西線 二条駅 10階建 築18年,地下鉄東西線,二条駅,5,京都府京都市中京区壬生朱雀町,18,7.2,1,K,36.3,7000,,14.4
地下鉄東西線 二条駅 10階建 築18年,地下鉄東西線,二条駅,5,京都府京都市中京区壬生朱雀町,18,7.3,1,K,36.3,7000,,14.6
地下鉄東西線 二条駅 10階建 築18年,地下鉄東西線,二条駅,5,京都府京都市中京区壬生朱雀町,18,7.3,1,R,31.23,7000,,14.6
地下鉄東西線 二条駅 10階建 築18年,地下鉄東西線,二条駅,5,京都府京都市中京区壬生朱雀町,18,7.4,1,R,31.23,7000,,14.8
阪急京都線 西院駅 4階建 築17年,阪急京都線,西院駅,9,京都府京都市中京区壬生東大竹町,17,5.3,1,K,22.12,4000,,5.3
レジデンス二条城西２,地下鉄東西線,二条駅,7,京都府京都市中京区聚楽廻東町,7,4.5,1,R,16.36,5000,,
ルミエール二条,地下鉄東西線,二条駅,4,京都府京都市中京区聚楽廻南町,44,13.8,2,LDK,54.09,10000,13.8,27.6
ルミエール二条,地下鉄東西線,二条駅,4,京都府京都市中京区聚楽廻南町,44,13.8,2,LDK,54.05,10000,13.8,27.6
ＪＲ山陰本線 円町駅 4階建 築30年,ＪＲ山陰本線,円町駅,7,京都府京都市中京区西ノ京北壺井町,30,4.5,1,K,20.16,,,
富小路マンション,地下鉄東西線,京都市役所前駅,6,京都府京都市中京区朝倉町,52,7.9,2,DK,45.09,6500,15,
富小路マンション,地下鉄東西線,京都市役所前駅,6,京都府京都市中京区朝倉町,52,7.9,2,DK,41.04,6500,15,
富小路マンション,地下鉄東西線,京都市役所前駅,6,京都府京都市中京区朝倉町,52,8,2,DK,45.09,6500,15,
富小路マンション,地下鉄東西線,京都市役所前駅,6,京都府京都市中京区朝倉町,52,9.5,2,DK,45.09,6500,20,
富小路マンション,地下鉄東西線,京都市役所前駅,6,京都府京都市中京区朝倉町,52,11.4,1,LDK,41.04,6500,20,
グレイス二条,地下鉄東西線,二条駅,4,京都府京都市中京区西ノ京職司町,24,4.3,1,K,20,,,4.3
