物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
葛城マンション,地下鉄烏丸線,今出川駅,24.0,京都府京都市上京区秤口町,50,5.8,1,K,33.8,5000,5.8,5.8
葛城マンション,地下鉄烏丸線,今出川駅,24.0,京都府京都市上京区秤口町,50,6.9,2,DK,54.55,5000,6.9,6.9
サンハイツ浅野,地下鉄烏丸線,二条城前駅,19.0,京都府京都市上京区東堀町,30,3.3,1,K,18,3000,,
ライオンズマンション京都東堀川,地下鉄烏丸線,丸太町駅,15.0,京都府京都市上京区二町目,34,5.3,1,R,30.86,10000,,5.3
地下鉄烏丸線 今出川駅 10階建 築16年,地下鉄烏丸線,今出川駅,15.0,京都府京都市上京区西北小路町,16,6.2,1,K,29.45,6000,6.2,9.3
地下鉄烏丸線 今出川駅 10階建 築16年,地下鉄烏丸線,今出川駅,15.0,京都府京都市上京区西北小路町,16,6.2,1,K,29.45,6000,6.2,9.3
地下鉄烏丸線 今出川駅 10階建 築16年,地下鉄烏丸線,今出川駅,15.0,京都府京都市上京区西北小路町,16,6.4,1,K,29.45,6000,6.4,9.6
地下鉄烏丸線 今出川駅 10階建 築16年,地下鉄烏丸線,今出川駅,15.0,京都府京都市上京区西北小路町,16,6.7,1,R,32.02,6000,6.7,10.05
地下鉄烏丸線 今出川駅 10階建 築16年,地下鉄烏丸線,今出川駅,15.0,京都府京都市上京区西北小路町,16,7.3,1,DK,36.54,6000,7.3,10.95
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,3.4,1,K,18.2,5000,,3.4
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,3.4,1,K,24,5000,,3.4
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,3.4,1,K,24,5000,,3.4
ルミエール末広,京福電鉄北野線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,3.4,1,K,18.2,5000,,3.4
ルミエール末広,京福電鉄北野線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,3.4,1,K,18.2,5000,,3.4
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,3.4,1,K,18.2,5000,,3.4
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,3.4,1,K,18.2,5000,,3.4
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,3.5,1,K,26,5000,,3.5
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,4,1,K,27,5000,,4
